,recall_mean,recall_std,precision_mean,precision_std,iou_mean,iou_std,num_chunks,chunk_size,chunk_overlap
601,75.31440734863281,40.425418853759766,3.05458664894104,2.7463674545288086,3.0418925285339355,2.7418553829193115,2,500,150
602,79.77294921875,36.84218978881836,2.134568929672241,1.7620878219604492,2.1281325817108154,1.7602605819702148,3,500,150
603,83.32954406738281,34.574710845947266,1.6683934926986694,1.3404825925827026,1.6657270193099976,1.3405464887619019,4,500,150
604,85.96112060546875,31.828710556030273,1.3695358037948608,1.0539307594299316,1.3678110837936401,1.0540167093276978,5,500,150
605,88.08152770996094,29.78799819946289,1.179701805114746,0.8755319714546204,1.1786513328552246,0.875586986541748,6,500,150
606,88.08152770996094,29.78799819946289,1.0102697610855103,0.7476394176483154,1.0094900131225586,0.747674286365509,7,500,150
607,90.7131118774414,26.076242446899414,0.916891872882843,0.6493807435035706,0.9162718057632446,0.6494150757789612,8,500,150
608,92.947265625,22.82101058959961,0.8367463946342468,0.568455696105957,0.8362984657287598,0.5684679746627808,9,500,150
609,94.26305389404297,20.150630950927734,0.7583768963813782,0.5024092793464661,0.7580150365829468,0.5024248957633972,10,500,150
610,74.39938354492188,41.29683303833008,5.909491539001465,5.542873382568359,5.875352382659912,5.510097026824951,1,500,175
611,84.92594146728516,33.4416618347168,3.4746763706207275,2.6626594066619873,3.465684652328491,2.654702663421631,2,500,175
612,88.40962219238281,29.8813533782959,2.4431822299957275,1.8060119152069092,2.4401824474334717,1.8024307489395142,3,500,175
613,90.7419662475586,27.296724319458008,1.8891593217849731,1.3346995115280151,1.887695550918579,1.3325529098510742,4,500,175
614,93.85811614990234,22.686511993408203,1.5612444877624512,1.066636562347412,1.560787558555603,1.0657658576965332,5,500,175
615,94.3705825805664,22.377470016479492,1.3125741481781006,0.9000787734985352,1.312293529510498,0.8993437886238098,6,500,175
616,95.68637084960938,19.551345825195312,1.1417752504348755,0.7616183757781982,1.1415718793869019,0.7610852122306824,7,500,175
617,95.95173645019531,19.471057891845703,1.0040446519851685,0.6682780981063843,1.003928780555725,0.6678879261016846,8,500,175
618,95.95173645019531,19.471057891845703,0.8953856229782104,0.5990757942199707,0.8952940702438354,0.598770260810852,9,500,175
619,98.58331298828125,11.416897773742676,0.8239257335662842,0.5220263600349426,0.8238524198532104,0.5217781662940979,10,500,175
620,73.03356170654297,41.20988845825195,5.958283424377441,5.362345218658447,5.909234046936035,5.328909397125244,1,500,200
621,81.47396850585938,35.6099967956543,3.3539299964904785,2.774709463119507,3.346849203109741,2.771587371826172,2,500,200
622,85.42133331298828,31.686141967773438,2.357358455657959,1.8024221658706665,2.35414719581604,1.801093339920044,3,500,200
623,88.6738510131836,28.42340087890625,1.8225232362747192,1.324447751045227,1.8210017681121826,1.3237545490264893,4,500,200
624,91.98226165771484,23.956506729125977,1.540353775024414,1.109578251838684,1.5401029586791992,1.109740138053894,5,500,200
625,93.396240234375,21.500627517700195,1.3058642148971558,0.9136814475059509,1.3057018518447876,0.9137945175170898,6,500,200
626,94.95943450927734,20.314992904663086,1.1285885572433472,0.7747974395751953,1.1285104751586914,0.7748476266860962,7,500,200
627,94.95943450927734,20.314992904663086,0.9873375296592712,0.6781724691390991,0.9872778654098511,0.6782106757164001,8,500,200
628,94.95943450927734,20.314992904663086,0.8785403370857239,0.6030586957931519,0.8784924745559692,0.6030890941619873,9,500,200
629,96.0839614868164,19.318653106689453,0.800926685333252,0.5415863990783691,0.8009265065193176,0.5415865182876587,10,500,200
630,72.5843276977539,41.88222885131836,5.662832736968994,5.153789520263672,5.6223883628845215,5.132211208343506,1,500,225
631,87.5395736694336,30.30660057067871,3.4997687339782715,2.634986400604248,3.4934463500976562,2.629948139190674,2,500,225
632,92.2394790649414,24.423744201660156,2.566157579421997,1.8032511472702026,2.564593553543091,1.8023779392242432,3,500,225
